Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Brnd_Name,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Eliquis,Apixaban,360,628.5,18624,291936.05,88,,343,607.5,282331.12,18010,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Lisinopril,Lisinopril,229,613.7,18406,1937.45,65,,218,580.7,1793.27,17416,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Carvedilol,Carvedilol,216,595.9,17876,2912.71,65,,187,515.9,2587.88,15477,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Carvedilol,Carvedilol,209,540.6,16181,2820.49,66,,187,482.2,2590.42,14438,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Losartan Potassium,Losartan Potassium,177,519,15570,2737.33,59,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Furosemide,Furosemide,205,521.5,15481,1339.68,73,,182,478.5,1193.8,14191,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Furosemide,Furosemide,206,510.1,15221,1492.87,76,,172,424.5,1296.35,12653,,63
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Metoprolol Tartrate,Metoprolol Tartrate,207,503.5,15058,1692.63,67,,179,441.5,1571.96,13222,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Metoprolol Succinate,Metoprolol Succinate,220,501.3,15034,6904.38,63,,181,411.6,5611.31,12348,,51
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Eliquis,Apixaban,243,479.9,14372,227837.68,64,,243,479.9,227837.68,14372,,64
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,174,474,14220,3023.3,59,#,,,,,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Spironolactone,Spironolactone,180,468,14014,1309.05,58,,148,400,1046.24,12000,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Carvedilol,Carvedilol,219,465.2,13955,2215.12,71,,170,370.2,1902.28,11105,,58
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,168,462.2,13851,6610.19,62,,128,360.2,4981.44,10796,,49
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Eliquis,Apixaban,338,458,13734,217604.58,82,,327,447,212162.4,13404,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Pioglitazone Hcl,Pioglitazone Hcl,235,449,13470,3180.26,56,,189,373,2670.27,11190,,43
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Carvedilol,Carvedilol,179,450,13431,2252.92,62,#,,,,,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,149,438.1,13144,4320.88,54,#,,,,,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Amlodipine Besylate,Amlodipine Besylate,174,434.3,12971,1634.37,61,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Losartan Potassium,Losartan Potassium,219,423,12678,1952.96,52,,185,359,1689.14,10758,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,154,412.8,12345,2382.08,45,,138,370.8,2154.92,11085,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Rosuvastatin Calcium,Rosuvastatin Calcium,271,412,12331,7033.29,59,,221,344,5937.55,10291,,46
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,138,404.6,12138,2761.84,50,#,,,,,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Atorvastatin Calcium,Atorvastatin Calcium,158,402,12060,2760.81,44,,135,347,2400.09,10410,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Metoprolol Tartrate,Metoprolol Tartrate,252,401.5,12025,1217.98,57,,198,331.5,1040.08,9925,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Isosorbide Mononitrate Er,Isosorbide Mononitrate,177,397,11884,3694.1,41,,148,335,3325.03,10024,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Spironolactone,Spironolactone,151,393,11790,1690.72,48,,135,363,1565.66,10890,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Amlodipine Besylate,Amlodipine Besylate,148,391,11730,1014.54,59,,123,326,903.31,9780,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Entresto,Sacubitril/Valsartan,212,382.9,11483,213044.22,57,,174,306,168111.94,9176,,43
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Rosuvastatin Calcium,Rosuvastatin Calcium,131,379.5,11386,7801.28,50,#,,,,,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,131,379,11357,3067.36,41,#,,,,,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Lisinopril,Lisinopril,141,373,11186,1517.35,46,#,,,,,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Lisinopril,Lisinopril,147,370.5,11115,905.27,52,,129,334.5,843.29,10035,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,127,369,11070,2731.02,41,,113,327,2574.8,9810,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Carvedilol,Carvedilol,169,364.3,10876,1581.43,54,,138,316.8,1434.08,9451,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Spironolactone,Spironolactone,137,350.7,10486,1303.02,50,,93,260.7,797.71,7792,,35
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Eliquis,Apixaban,140,342,10199,157862.3,43,,140,342,157862.3,10199,,43
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Atorvastatin Calcium,Atorvastatin Calcium,160,340,10184,3050.51,53,,135,297,2861.5,8897,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Losartan Potassium,Losartan Potassium,116,333,9990,1608.41,42,,94,267,1369.94,8010,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Clopidogrel,Clopidogrel Bisulfate,141,333.3,9982,2220.41,56,,121,301.3,1950.88,9038,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Potassium Chloride,Potassium Chloride,141,328.5,9828,5390.61,43,,126,299.5,4855.01,8958,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Torsemide,Torsemide,170,329.5,9798,4703.76,46,,136,253.5,3423.78,7533,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Amlodipine Besylate,Amlodipine Besylate,146,327,9795,1036.33,51,,133,312,996.86,9345,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,128,325.3,9694,3982.84,47,,107,286.3,3587.93,8567,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Pravastatin Sodium,Pravastatin Sodium,183,323,9690,2341.47,43,,148,250.9,1631.67,7526,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Losartan Potassium,Losartan Potassium,125,318.5,9531,2096.35,50,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Ezetimibe,Ezetimibe,126,316,9480,7567.9,32,#,,,,,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Isosorbide Mononitrate Er,Isosorbide Mononitrate,154,316,9480,3498.83,55,,135,287,3201.39,8610,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Losartan Potassium,Losartan Potassium,127,305.3,9125,1929.04,47,,99,261,1660.98,7818,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Clopidogrel,Clopidogrel Bisulfate,126,303.4,9102,1620.28,36,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Eliquis,Apixaban,156,300.5,8970,138641.65,39,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Jardiance,Empagliflozin,250,297.5,8924,159695.35,51,,200,233.7,125122.07,7010,,38
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Metoprolol Tartrate,Metoprolol Tartrate,117,294.5,8815,804.16,39,#,,,,,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Spironolactone,Spironolactone,118,293,8790,1047.16,39,,85,224,736.13,6720,,27
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Furosemide,Furosemide,191,292,8760,708.15,45,,141,235,539.82,7050,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Torsemide,Torsemide,133,285.7,8527,4856.81,45,#,,,,,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Metoprolol Tartrate,Metoprolol Tartrate,134,281,8346,951.59,57,#,,,,,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Potassium Chloride,Potassium Chloride,127,277.7,8308,4376.45,38,#,,,,,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Entresto,Sacubitril/Valsartan,204,278,8300,147027.15,42,,133,185,97751.18,5540,,26
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Lisinopril,Lisinopril,138,274.8,8230,986.22,52,,121,249.8,921.18,7480,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Carvedilol,Carvedilol,103,273.2,8177,1173.13,35,,92,260,1067.96,7800,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Metformin Hcl,Metformin Hcl,149,268.1,7994,536.89,37,,137,248,499.05,7390,#,
1659386266,Bozicevich,Dawn,Minneapolis,MN,27,Nurse Practitioner,S,Potassium Chloride,Potassium Chloride,166,273.3,7911,10409.12,87,,128,202.8,6504.67,5871,,70
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Metoprolol Tartrate,Metoprolol Tartrate,96,261.5,7846,1024.53,31,#,,,,,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Lisinopril,Lisinopril,85,252,7560,856.08,32,,69,206,698.26,6180,#,
1659386266,Bozicevich,Dawn,Minneapolis,MN,27,Nurse Practitioner,S,Metoprolol Succinate,Metoprolol Succinate,110,250.5,7471,3799.01,55,,85,198,3024.01,5896,,44
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Furosemide,Furosemide,113,252.2,7439,748.08,44,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Eliquis,Apixaban,206,243,7221,117012.08,37,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Isosorbide Mononitrate Er,Isosorbide Mononitrate,143,239,7140,1641.2,40,,130,222,1487.43,6630,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Lisinopril,Lisinopril,80,237,7101,598.16,30,#,,,,,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Losartan Potassium,Losartan Potassium,111,235,7050,1156.91,45,,87,193,992.05,5790,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Isosorbide Mononitrate Er,Isosorbide Mononitrate,87,235,7050,2182.99,29,#,,,,,#,
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Rosuvastatin Calcium,Rosuvastatin Calcium,89,233.7,7010,3147.24,30,,77,213.7,2843.18,6410,#,
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Amlodipine Besylate,Amlodipine Besylate,86,234.1,7008,791.84,34,#,,,,,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Losartan Potassium,Losartan Potassium,82,230.5,6915,1176.36,33,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Hydralazine Hcl,Hydralazine Hcl,105,229,6870,2148.43,28,,68,174,1760.65,5220,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Amiodarone Hcl,Amiodarone Hcl,117,227.2,6815,2439.77,43,#,,,,,#,
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Carvedilol,Carvedilol,89,226.2,6785,1030.99,32,,75,200.5,925.79,6014,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Torsemide,Torsemide,113,226.8,6726,5814.49,41,,69,156.9,2797.83,4667,,30
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Losartan Potassium,Losartan Potassium,80,222.7,6680,996.22,31,#,,,,,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Furosemide,Furosemide,86,222.1,6617,809,40,,72,184.1,736.68,5477,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Clopidogrel,Clopidogrel Bisulfate,85,221,6614,1075.8,31,,85,221,1075.8,6614,,31
1659386266,Bozicevich,Dawn,Minneapolis,MN,27,Nurse Practitioner,S,Furosemide,Furosemide,98,223.5,6596,684.11,62,,85,197.5,551.5,5847,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Warfarin Sodium,Warfarin Sodium,156,271.6,6563,2144,37,,140,236.3,1918.39,5505,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Entresto,Sacubitril/Valsartan,130,221.5,6561,116754.2,35,,113,202.5,106368.73,6000,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Repatha Sureclick,Evolocumab,136,223.5,6532,107510.08,25,,107,170.9,82191.18,4986,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Losartan Potassium,Losartan Potassium,91,229,6522,978.29,26,#,,,,,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Potassium Chloride,Potassium Chloride,83,217.2,6467,2837.95,35,#,,,,,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Warfarin Sodium,Warfarin Sodium,84,214.8,6424,1847.89,29,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Spironolactone,Spironolactone,118,206,6180,706.08,30,,98,168,602,5040,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Carvedilol,Carvedilol,105,206,6149,932.28,23,,66,152,687.98,4549,#,
1659386266,Bozicevich,Dawn,Minneapolis,MN,27,Nurse Practitioner,S,Torsemide,Torsemide,112,205.7,6103,4912.71,63,,94,165.7,3267.13,4923,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Spironolactone,Spironolactone,82,202.4,6062,595.9,30,,82,202.4,595.9,6062,,30
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Simvastatin,Simvastatin,78,199,5970,693.52,22,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Xarelto,Rivaroxaban,114,197,5910,92864.3,27,#,,,,,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Amlodipine Besylate,Amlodipine Besylate,65,195,5850,675.79,22,,65,195,675.79,5850,,22
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,66,190,5700,2945.06,24,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,102,190,5700,1528.58,28,,78,146,1095.55,4380,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Hydrochlorothiazide,Hydrochlorothiazide,75,189,5670,368.71,21,#,,,,,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Potassium Chloride,Potassium Chloride,69,188.3,5649,9784.3,32,,56,152.5,5973.57,4575,#,
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Lisinopril,Lisinopril,81,189,5644,399.48,21,,69,153,336.56,4564,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Clopidogrel,Clopidogrel Bisulfate,77,187.5,5596,1006.76,24,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Pantoprazole Sodium,Pantoprazole Sodium,107,182,5460,1188.6,27,,88,147,899.4,4410,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Amiodarone Hcl,Amiodarone Hcl,72,181,5430,2009.05,20,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Torsemide,Torsemide,77,175.7,5259,1976.02,28,,65,149.4,1609.86,4469,#,
1730317314,Napier,Rebecca,Columbia,SC,45,Cardiology,S,Entresto,Sacubitril/Valsartan,129,175,5250,94594.52,36,,91,119,62919.7,3570,,25
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Atorvastatin Calcium,Atorvastatin Calcium,60,174,5220,987.21,26,#,,,,,#,
1659386266,Bozicevich,Dawn,Minneapolis,MN,27,Nurse Practitioner,S,Carvedilol,Carvedilol,98,174,5211,1121.55,37,,72,132,928.73,3951,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Entresto,Sacubitril/Valsartan,95,176,5194,86001.41,23,,78,157,75842.09,4649,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Hydralazine Hcl,Hydralazine Hcl,106,173.5,5186,1592.39,40,,88,147,1416.04,4390,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Lisinopril,Lisinopril,65,173,5170,679.22,22,,39,117,563.05,3510,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Ramipril,Ramipril,65,173,5168,1010.58,17,,65,173,1010.58,5168,,17
1376836395,Carry,Brendan,Danville,PA,42,Internal Medicine,S,Furosemide,Furosemide,82,170,5100,453.23,28,,67,127.7,352.95,3830,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Amiodarone Hcl,Amiodarone Hcl,108,170,5086,1134.92,25,#,,,,,#,
1730317314,Napier,Rebecca,Columbia,SC,45,Cardiology,S,Spironolactone,Spironolactone,85,167,5000,933.73,34,,46,100,366.24,3000,,20
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Lisinopril,Lisinopril,56,163.6,4908,533.5,21,,56,163.6,533.5,4908,,21
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Metoprolol Tartrate,Metoprolol Tartrate,56,163.5,4906,603.31,19,,56,163.5,603.31,4906,,19
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Clopidogrel,Clopidogrel Bisulfate,54,162,4860,765,18,,54,162,765,4860,,18
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Chlorthalidone,Chlorthalidone,57,161.3,4839,1779.58,20,#,,,,,#,
1750554986,Brady,James,Wilkes Barre,PA,42,Hematology-Oncology,S,Acyclovir,Acyclovir,102,164,4836,1029.39,27,,85,139,916.25,4086,#,
1730317314,Napier,Rebecca,Columbia,SC,45,Cardiology,S,Carvedilol,Carvedilol,76,162,4832,768.98,31,,47,109,493.03,3270,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Praluent Pen,Alirocumab,123,167.1,4816,92770.59,22,,104,142.7,75999.69,4116,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Xarelto,Rivaroxaban,65,160,4800,74537.18,17,,65,160,74537.18,4800,,17
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Atenolol,Atenolol,58,159.9,4798,692.65,17,#,,,,,#,
1750554986,Brady,James,Wilkes Barre,PA,42,Hematology-Oncology,S,Famotidine,Famotidine,79,159,4755,689.37,30,#,,,,,#,
1720138100,Jay,Desmond,Minneapolis,MN,27,Cardiology,S,Eliquis,Apixaban,66,158,4710,72599.22,20,#,,,,,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Mycophenolate Mofetil,Mycophenolate Mofetil,67,154.9,4585,10370,14,#,,,,,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Hydralazine Hcl,Hydralazine Hcl,64,150,4500,1442.49,18,#,,,,,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Furosemide,Furosemide,65,156,4479,550.98,22,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Hydrochlorothiazide,Hydrochlorothiazide,53,148.6,4458,359.06,17,#,,,,,#,
1659386266,Bozicevich,Dawn,Minneapolis,MN,27,Nurse Practitioner,S,Spironolactone,Spironolactone,66,148,4397,673.79,31,#,,,,,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Pravastatin Sodium,Pravastatin Sodium,59,144.7,4325,1334.91,16,,37,102.7,912.14,3065,#,
1912986183,Miller,Wayne,Rochester,MN,27,Advanced Heart Failure and Transplant Cardiology,S,Metoprolol Succinate,Metoprolol Succinate,48,139.5,4185,1907.06,15,#,,,,,#,
1104011592,Case,Rachel,Greenwood,SC,45,Nurse Practitioner,S,Bumetanide,Bumetanide,84,141.1,4178,7592.6,30,,72,124.1,6097.18,3668,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Xarelto,Rivaroxaban,87,138.5,4146,66514.04,20,#,,,,,#,
1053523613,Samara,Michael,Minneapolis,MN,27,Cardiology,S,Rosuvastatin Calcium,Rosuvastatin Calcium,48,138,4132,2301.99,19,#,,,,,#,
1174528129,Droogan,Christopher,Wynnewood,PA,42,Advanced Heart Failure and Transplant Cardiology,S,Warfarin Sodium,Warfarin Sodium,52,136,4080,1351.91,17,#,,,,,#,
1629090196,Lin,David,Edina,MN,27,Cardiology,S,Furosemide,Furosemide,51,134.7,4011,409.15,21,#,,,,,#,
1255587465,Lopez De Leon,Angela,Greenwood,SC,45,Cardiology,S,Diltiazem 24hr Er (Cd),Diltiazem Hcl,49,133,3990,5689,16,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Allopurinol,Allopurinol,77,133,3990,643.37,23,#,,,,,#,
1467457358,Tedder,Barry,Jonesboro,AR,5,Cardiology,S,Levothyroxine Sodium,Levothyroxine Sodium,77,133,3990,1155.7,18,#,,,,,#,
1598729253,Orlandi,Quirino,Minneapolis,MN,27,Cardiology,S,Isosorbide Mononitrate Er,Isosorbide Mononitrate,45,133,3990,1068.09,20,#,,,,,#,
1639131345,Eckman,Peter,Minneapolis,MN,27,Cardiology,S,Hydralazine Hcl,Hydralazine Hcl,60,132.6,3977,1749.97,23,#,,,,,#,
